an,an
ar,ar
az,az
az_TR,az-tr
bg_BG,bg
bn_BD,bn
bs_BA,bs
ca,ca
ckb,ckb
co,co
cs_CZ,cs
cy,cy
da_DK,da
de_DE,de
de_CH,de
dv,dv
el,el
en_CA,en-ca
en_GB,en-gb
eo,eo
es_CL,es-cl
es_ES,es
es_PE,es-pe
es_VE,es-ve
et,et
eu,eu
fa_AF,fa-af
fa_IR,fa
fi,fi
fo,fo
fr_FR,fr
fy,fy
ga,ga
gd,gd
gl_ES,gl
gu,gu
haw_U,haw
he_IL,he
hi_IN,hi
hr,hr
hu_HU,hu
hy,hy
id_ID,id
is_IS,is
it_IT,it
ja,ja
jv_ID,jv
ka_GE,ka
kea,kea
kk,kk
kn,kn
ko_KR,ko
ku,ku
ky_KY,ky
la,la
li,li
lo,lo
lt,lt
lv,lv
me_ME,me
mg_MG,mg
mk_MK,mk
ml_IN,ml
mn,mn
mr,mr
ms_MY,ms
my_MM,mya
nb_NO,nb
ne_NP,ne
nl,nl
nl_BE,nl
nl_NL,nl
nn_NO,nn
os,os
pa_IN,pa
pl_PL,pl
pt_BR,pt-br
pt_PT,pt
ro_RO,ro
ru_RU,ru
ru_UA,ru-ua
sa_IN,sa-in
si_LK,si
sk_SK,sk
sl_SI,sl
so_SO,so
sq,sq
sr_RS,sr
srd,srd
su_ID,su
sv_SE,sv
sw,sw
ta_IN,ta
ta_LK,ta-lk
te,te
tg,tg
th,th
tl,tl
tr,tr
ug_CN,ug
uk,uk
ur,ur
uz_UZ,uz
vi,vi
zh_CN,zh-cn
zh_TW,zh-tw
